txn_id,date,amount,currency,channel,description
CRD-646C4E77,2025-10-02,285.18,AED,CARD,Sharaf DG Electronics
BNK-DEEA0140,2025-09-18,342.77,AED,A2A,du Bill Payment
BNK-7AC44820,2025-09-24,1111.51,AED,CARD,Namshi Online
PAY-8FA4DC3F,2025-07-28,134.77,AED,CARD,Netflix.com Subscription
BNK-70BAECD9,2025-09-13,42.90,AED,CARD,McDonald's UAE
BNK-2F90DB8E,2025-09-18,713.78,AED,CARD,تبرع زكاة
BNK-2EAE31E1,2025-09-02,81.30,AED,CARD,ENOC EPPCO Service Station
CRD-A099C0C2,2025-10-01,118.70,AED,CARD,Dubai Taxi
CRD-7B6B1DCD,2025-09-07,28.62,AED,A2A,تبرع جمعية الهلال الأحمر
PAY-3492EDD5,2025-09-05,872.63,AED,A2A,FEWA Payment
PAY-D75EEA77,2025-09-14,738.92,AED,CARD,سالك - تعبئة
A2A-6EA11EC3,2025-09-03,389.32,AED,CARD,Union Coop Al Barsha
BNK-66F05C69,2025-08-04,580.44,AED,CARD,DEWA Online Payment - Dubai Electricity
A2A-A2BB9EA6,2025-08-28,393.17,AED,CARD,Virgin Mobile UAE
POS-147DF539,2025-09-25,118.15,AED,CARD,فاتورة دو
POS-BB90A658,2025-09-03,61.90,AED,WALLET,Dubai Taxi
CRD-11542036,2025-10-08,841.57,AED,CARD,دفع ديوا
POS-5EA142C9,2025-08-11,687.94,AED,CARD,دفع ديوا
CRD-F8BF2EF1,2025-09-18,60.29,AED,CARD,RTA NOL Recharge
A2A-29F0657F,2025-10-18,67.86,AED,CARD,Starbucks
PAY-7A74C583,2025-08-13,273.88,AED,CARD,Emax Electronics
A2A-89EA30A3,2025-08-13,155.85,AED,CARD,محطة أدنوك
BNK-57C09A0D,2025-08-20,925.49,AED,CARD,تبرع زكاة
POS-0EEC85CF,2025-10-10,936.74,AED,SO,Spinneys Jumeirah
PAY-12D5C6A7,2025-10-03,331.22,AED,CARD,KFC UAE
CRD-89EC6C00,2025-09-03,643.30,AED,SO,Virgin Megastore Dubai Mall
CRD-C17153C5,2025-08-02,40.55,AED,CARD,ACE Hardware Dubai
BNK-D252CC88,2025-09-12,8.94,AED,CARD,Careem Ride
POS-38548650,2025-10-20,575.80,AED,CARD,AADC Payment
A2A-F80300C6,2025-08-07,338.32,AED,CARD,Starbucks
POS-74F5A7F0,2025-09-20,53.46,AED,CARD,دفع ديوا
CRD-6A6210AA,2025-09-25,472.29,AED,CARD,ADDC Bill Payment
POS-EFB69FB0,2025-09-05,994.01,AED,A2A,اتصالات - دفع
POS-7D1000C0,2025-10-19,349.82,AED,WALLET,Supercare Pharmacy
PAY-CC277D2E,2025-10-19,4162.57,AED,CARD,تبرع زكاة
BNK-F53CD45E,2025-07-30,514.61,AED,CARD,IKEA Dubai Festival City
POS-81803ABD,2025-08-05,67.70,AED,CARD,اتصالات - Recharge e&
POS-C6050B67,2025-08-28,891.40,AED,CARD,اتصالات - دفع
PAY-D761353D,2025-09-05,91.12,AED,CARD,IKEA Dubai Festival City
A2A-623EEEC6,2025-07-30,105.96,AED,A2A,Talabat Order
POS-19BD64EC,2025-08-29,762.54,AED,CARD,Carrefour Hypermarket Mall of the Emirates
PAY-C72D5A79,2025-10-01,260.30,AED,WALLET,Pizza Hut
CRD-C9E663DB,2025-09-08,129.01,AED,REM,Mawaqif Parking Abu Dhabi
PAY-0AB0339B,2025-08-19,62.71,AED,CARD,Careem Ride
PAY-DECF46F7,2025-08-24,298.02,AED,CARD,Amazon AE
CRD-2D8FF5BA,2025-07-27,116.19,AED,CARD,Emarat Service Station
CRD-023671BB,2025-07-29,327.42,AED,A2A,Nando's
POS-DFA5FDE3,2025-10-17,99.63,AED,A2A,Nando's
CRD-4C4AAE7B,2025-10-08,702.77,AED,A2A,ADDC Bill Payment
CRD-7B951BD3,2025-10-07,168.51,AED,SO,اتصالات - Recharge e&
